s	Product	Department	Dept_Name	Year	Month	Sales	Transactions	Items
20680400000	Nerka Coho Salmon Fillet	16	FISH&SEAFOOD	2015	9	4841.71	373	390
85846700135	2# Bag O.Carrots Rock Spring 	2	PRODUCE	2010	12	4839.12	1053	1128
199	ORANGES Mandarin Murcott O.	2	PRODUCE	2015	4	4838.84	1594	1609
20681000000	Sockeye Salmon	16	FISH&SEAFOOD	2014	4	4838.58	333	357
352	Beans Green Organic	2	PRODUCE	2011	11	4836.59	1952	1940
20552600000	Hand-Pulled Mozzarella	5	CHEESE	2013	7	4833.87	1162	1231
20685400000	Tilapia	16	FISH&SEAFOOD	2012	2	4832.9	675	727
4334	BURRITOS Wedge Classic	8	DELI	2016	6	4832	591	599
729	TOMATOES Roma Organic	2	PRODUCE	2011	4	4830.98	2011	2026
735	Yams Organic	2	PRODUCE	2011	4	4830.46	1883	1918
67076412363	O.Yellow Corn Chips 16oz WGM	1	PACKAGED GROCERY	2010	8	4829.66	1345	1495
8026	Gift Card Sold	15	MISC P/I	2010	10	4828.51	68	89
3338301247	3# Bag O.Pink Lady Apples	2	PRODUCE	2013	3	4827.94	779	806
725	TOMATOES Cherry O.pint	2	PRODUCE	2013	9	4827.9	1096	1168
12	CELERY Organic	2	PRODUCE	2011	10	4826.19	2790	2904
398	Spinach Bulk Organic	2	PRODUCE	2010	9	4825.61	2273	2269
20634600000	Boneless Chicken Thighs TrayPk	13	MEAT	2016	1	4823.53	457	644
727	TOMATOES Red Slicer Org.	2	PRODUCE	2010	3	4823.44	1549	1541
4362	BBOWL Mayan Grain	8	DELI	2016	6	4823	644	671
179	CITRUS Lemon Organic	2	PRODUCE	2012	3	4821.42	2928	2975
557	Scallions Organic	2	PRODUCE	2016	1	4821.26	1774	1845
721	Squash Zucchini Green Organic	2	PRODUCE	2014	1	4819.36	1992	2001
130	AVOCADO Hass Big Organic	2	PRODUCE	2012	9	4816.89	1471	1578
379	Ginger Root Organic	2	PRODUCE	2014	1	4816.65	2596	2598
721	Squash Zucchini Green Organic	2	PRODUCE	2014	11	4815.26	1676	1689
152	Grapes Green Organic	2	PRODUCE	2010	9	4815.12	933	929
513	Cilantro Organic	2	PRODUCE	2013	4	4815.1	2532	2572
311	Cherry Bing Organic	2	PRODUCE	2010	6	4813.41	510	502
363	Cucumbers Organic	2	PRODUCE	2016	4	4813.03	2985	3012
20162100000	Turkey Focaccia w/Pesto Mayo	8	DELI	2013	10	4812.29	1058	1170
513	Cilantro Bunch Organic	2	PRODUCE	2016	1	4811.82	2290	2320
313	Cherry Rainier Organic	2	PRODUCE	2015	6	4811.8	364	360
138	Kiwi/Gold Kiwi Organic	2	PRODUCE	2011	3	4811.31	2895	3249
8026	Gift Card Sold	15	MISC P/I	2010	11	4811.22	74	78
513	Cilantro Organic	2	PRODUCE	2013	12	4810.68	1835	1858
179	CITRUS Lemon Organic	2	PRODUCE	2014	7	4810.46	2971	3008
700	Squash Winter Organic	2	PRODUCE	2011	1	4810.18	1539	1632
105	APPLES Honeycrisp Hoch O.	2	PRODUCE	2013	9	4809.06	893	903
735	Yam Garnet Organic	2	PRODUCE	2016	5	4807.08	1299	1336
39	Wedge Scone	8	DELI	2016	11	4805.7	1559	1650
130	AVOCADO Hass Big Organic	2	PRODUCE	2013	1	4805.31	1640	1810
152	Grapes Green Organic	2	PRODUCE	2016	7	4803.81	779	768
324	Peach White Organic	2	PRODUCE	2015	5	4803.64	1291	1257
513	Cilantro Organic	2	PRODUCE	2013	3	4801.79	2537	2565
557	Scallions/Green Onions Organic	2	PRODUCE	2015	5	4800.73	2124	2191
398	Spinach Bulk Organic	2	PRODUCE	2016	5	4798.33	1766	1768
363	Cucumbers Organic	2	PRODUCE	2017	1	4798.13	2213	2228
13595	NUTS Walnuts Halves&Pieces Org	3	BULK	2011	7	4795.85	929	940
49	Wedge Muffin	8	DELI	2015	3	4795.74	1550	1613
207	APPLES SweeTango	2	PRODUCE	2014	10	4795.5	1200	1218
15605	NUT BUTTER Almond	3	BULK	2016	6	4795.41	551	569
3338322230	O.Blueberries dry pint pkg	2	PRODUCE	2011	2	4795.39	885	957
63855001173	O.Blueberries 11oz pkg	2	PRODUCE	2013	1	4795.3	643	681
17526	COFFEE Birchwood Blend/Peace	3	BULK	2014	6	4795.26	496	516
108	APPLES Gala Organic	2	PRODUCE	2014	6	4795.25	948	955
392	Kale Green Organic	2	PRODUCE	2012	5	4794.34	1510	1598
20604300000	Grass-Fed Ribeye Steak	13	MEAT	2015	6	4793.07	245	267
179	CITRUS Lemon Organic	2	PRODUCE	2012	6	4792.13	2956	3027
189	ORANGES Minneola Tangelo Org.	2	PRODUCE	2015	1	4790.87	1921	1943
18289300005	10# Bag O.Navel Oranges	2	PRODUCE	2017	1	4789.81	412	411
17503	COFFEE French Roast/EE	3	BULK	2012	5	4789.08	546	579
39	Wedge Scone	8	DELI	2015	7	4788.27	1471	1538
101	APPLES Braeburn Organic	2	PRODUCE	2015	6	4787.7	1140	1160
101	APPLES Braeburn Organic	2	PRODUCE	2015	7	4786	1176	1195
727	TOMATOES Slicer Organic	2	PRODUCE	2016	3	4783.19	1163	1155
380	Garlic Local Organic	2	PRODUCE	2013	5	4781.12	3606	3655
729	TOMATOES Roma Organic	2	PRODUCE	2011	5	4780.51	2092	2105
729	TOMATOES Roma Organic	2	PRODUCE	2010	4	4779.54	1850	1853
3338322230	O.Blueberries pkg	2	PRODUCE	2010	7	4779.48	909	1001
204	APPLES Jazz/Smitten	2	PRODUCE	2016	5	4779.24	1195	1235
727	TOMATOES Red Slicer Organic	2	PRODUCE	2011	6	4778.69	1253	1242
39	Wedge Scone	8	DELI	2015	11	4778.31	1539	1610
20099000000	Fresh Flower Bouquet	18	FLOWERS	2012	3	4778.13	492	530
187	ORANGES Navel Organic	2	PRODUCE	2013	3	4777.87	1876	1894
152	Grapes Green Organic	2	PRODUCE	2012	10	4777.57	836	827
179	CITRUS Lemon Organic	2	PRODUCE	2011	8	4776.35	2526	2564
20600300000	Grass-Fed Ground Beef	13	MEAT	2010	1	4776.15	635	852
81076600002	Eggs O.Larrys ExtraLarge Dozen	4	REF GROCERY	2011	12	4775.4	1062	1207
20162100000	Turkey Focaccia w/Pesto Mayo	8	DELI	2014	4	4774.7	1122	1226
20620200000	Bacon Thick-Sliced	13	MEAT	2013	11	4774.28	839	876
380	Garlic Local Organic	2	PRODUCE	2013	10	4773.77	3880	3932
13595	NUTS Walnuts Halves&Pieces Org	3	BULK	2015	9	4773.03	582	578
71375731861	Large Eggs 12ct LoLa	4	REF GROCERY	2016	11	4772.55	1174	1282
3602	Dun Laoghaire Bar Soap 6oz	11	PERSONAL CARE	2012	12	4772.43	455	593
81076600003	Eggs O.Larrys Jumbo Dozen	4	REF GROCERY	2012	9	4772.04	1014	1178
395	Kale Dinosaur Organic	2	PRODUCE	2013	8	4771.8	1496	1575
317	Nectarine White Organic	2	PRODUCE	2010	8	4769.45	1458	1443
14	Carrots Orange/Purple Bulk O.	2	PRODUCE	2013	11	4769	2233	2249
81076600003	O.Jumbo Eggs 12ct Larry	4	REF GROCERY	2014	1	4764.06	1016	1133
101	APPLES Braeburn Organic	2	PRODUCE	2010	3	4763.62	1663	1690
39	Wedge Scone	8	DELI	2015	9	4763.37	1504	1546
740	Beets Loose Organic	2	PRODUCE	2012	5	4761.79	1067	1097
595	POTATOES Yellow/Yukon/White O	2	PRODUCE	2011	6	4761.58	1214	1233
381	GARLIC Long Neck Local Organic	2	PRODUCE	2015	9	4760.29	1855	1830
985	O.Herb Seedling 3.25 pot--GoE	18	FLOWERS	2015	5	4760.08	596	619
735	Yams Organic	2	PRODUCE	2011	3	4759.38	1964	2011
20600300000	Grass-Fed Ground Beef	13	MEAT	2010	11	4759.13	690	863
317	Nectarine White Organic	2	PRODUCE	2011	7	4757.51	1966	1938
20600300000	Grass-Fed Ground Beef	13	MEAT	2010	9	4757.34	665	861
533	Mushroom Crimini Organic	2	PRODUCE	2013	3	4757.08	2046	2045
179	CITRUS Lemon Organic	2	PRODUCE	2010	7	4757.05	2438	2464
3915301002	EV Olive Oil 1L Col	1	PACKAGED GROCERY	2014	8	4755.62	251	278
395	Kale Dinosaur Organic	2	PRODUCE	2014	10	4755.33	1605	1685
3338320038	O.Strawberries 16oz pkg	2	PRODUCE	2012	3	4754.72	676	726
15605	NUT BUTTER Almond	3	BULK	2017	1	4754.71	673	684
105	APPLES Honeycrisp Hoch Organic	2	PRODUCE	2010	10	4753.64	863	861
174	CITRUS Grapefruit Ruby/Rio O.	2	PRODUCE	2016	1	4753.28	1502	1563
83	Eggs O.Harmony Bulk Each	4	REF GROCERY	2010	7	4752.96	1442	1482
20681000000	Sockeye Salmon	16	FISH&SEAFOOD	2012	12	4752.37	351	371
513	Cilantro Bunch Organic	2	PRODUCE	2015	3	4751.78	2249	2274
17516	COFFEE Breakfast Blend O./EE	3	BULK	2016	8	4750.34	576	592
503	Salad Mix Organic	2	PRODUCE	2014	1	4748.42	2615	2633
198	ORANGES Tangerine Sunburst Org	2	PRODUCE	2011	12	4748.2	1569	1564
700	Squash Winter/Pie Pumpkin O.	2	PRODUCE	2012	1	4747.72	1276	1396
351	Asparagus Organic	2	PRODUCE	2015	2	4747.58	499	490
20681400000	Sockeye Salmon Fillet	16	FISH&SEAFOOD	2010	6	4745.42	192	210
49	Wedge Muffin	8	DELI	2014	10	4739.37	1506	1608
395	Kale Dinosaur Organic	2	PRODUCE	2014	11	4736.11	1595	1655
12	CELERY Organic	2	PRODUCE	2010	5	4734	2247	2348
721	Squash Zucchini Green Organic	2	PRODUCE	2010	6	4731.59	2110	2141
20162100000	Turkey Focaccia w/Pesto Mayo	8	DELI	2014	6	4731.12	1122	1239
20681400000	Sockeye Salmon	16	FISH&SEAFOOD	2016	2	4731.03	338	359
71575620011	O.Strawberries 16oz pkg	2	PRODUCE	2014	2	4730.08	546	584
81076600004	Eggs O.Larrys Medium Dozen	4	REF GROCERY	2012	3	4729.05	1275	1372
20681800000	King Salmon 	16	FISH&SEAFOOD	2013	5	4726.95	271	284
20099000000	Fresh Flower Bouquet	18	FLOWERS	2012	4	4725.89	471	506
17503	COFFEE French Roast/EE	3	BULK	2014	5	4725.5	574	609
13680	NUTS Pecans Halves Raw	3	BULK	2013	11	4723.31	860	857
13595	NUTS Walnuts Halves&Pieces Org	3	BULK	2010	5	4722.62	885	889
740	Beets Loose Organic	2	PRODUCE	2013	11	4722.22	1160	1178
557	SCALLIONS Green Onions Organic	2	PRODUCE	2012	3	4720.98	2379	2459
20680400000	Nerka Coho Salmon Fillet	16	FISH&SEAFOOD	2014	3	4720.43	371	393
3338320038	O.Strawberries 16oz pkg.	2	PRODUCE	2010	3	4720.18	745	791
190	ORANGES Mandarin Satsuma Org.	2	PRODUCE	2014	11	4720	1135	1142
13595	NUTS Walnuts Halves&Pieces Org	3	BULK	2011	5	4719.27	874	873
7835555000	Plain Greek Yogurt 24oz Gods	4	REF GROCERY	2010	8	4717.86	1217	1414
533	Mushroom Crimini Organic	2	PRODUCE	2013	11	4717.24	1802	1805
1283	Eggs Bulk Dozen	4	REF GROCERY	2016	12	4716.96	1082	1138
395	Kale Dinosaur Organic	2	PRODUCE	2010	2	4715.68	1571	1663
13595	NUTS Walnuts Halves&Pieces Org	3	BULK	2010	11	4715.54	836	831
7835557000	Honey Greek Yogurt 24oz Gods	4	REF GROCERY	2013	3	4714.48	1247	1453
20647900000	O.SkinlessBonelessChick.Breast	13	MEAT	2010	9	4714.02	418	454
20600300000	Grass-Fed Ground Beef	13	MEAT	2010	12	4713.48	647	890
727	TOMATOES Red Slicer Organic	2	PRODUCE	2011	5	4713	1519	1509
152	Grapes Green Organic	2	PRODUCE	2010	7	4712.86	1151	1139
317	Nectarine White Organic	2	PRODUCE	2014	6	4711.97	1294	1253
17503	COFFEE French Roast/EE	3	BULK	2013	11	4710.18	592	623
71575610004	O.Raspberries 6oz pkg	2	PRODUCE	2012	9	4710.01	879	1026
383	Garlic Organic	2	PRODUCE	2011	3	4709.98	4203	4250
503	Salad Mix Organic	2	PRODUCE	2015	3	4709.4	2465	2465
383	Garlic Organic	2	PRODUCE	2011	1	4709.27	4386	4457
7026	Salad Bar Container	8	DELI	2016	12	4709.24	937	981
392	Kale Green Organic	2	PRODUCE	2010	1	4708.55	1812	1928
314	Nectarine Yellow Organic	2	PRODUCE	2011	6	4708.48	1584	1566
825	TOMATOES Grape TomKing bulk	2	PRODUCE	2016	6	4707.14	1192	1203
20633600000	ChickenBreastBoneless/Skinless	13	MEAT	2016	9	4705.74	419	521
9396600013	O.Eggnog 32oz OV	4	REF GROCERY	2011	12	4705.32	1171	1372
85068710400	Everyday EVOliveOil 25.4oz CaO	1	PACKAGED GROCERY	2013	8	4705.29	267	291
83	EGGS Bulk Each	4	REF GROCERY	2016	11	4704.56	1348	1386
721	Squash Zucchini Green Organic	2	PRODUCE	2012	11	4702.69	1681	1704
3338322031	O.Blueberries pint	2	PRODUCE	2013	7	4698.52	740	843
826	TOMATOES Living Waters Hydro	2	PRODUCE	2011	12	4696.84	1269	1276
20680400000	Nerka Coho Salmon Fillet	16	FISH&SEAFOOD	2013	6	4696.72	422	455
83	EGGS Bulk Each	4	REF GROCERY	2016	10	4694.64	1390	1419
83	EGGS Bulk Each	4	REF GROCERY	2016	8	4694.47	1409	1463
179	CITRUS Lemon Organic	2	PRODUCE	2012	10	4693.49	2461	2492
367	Cauliflower Local Organic	2	PRODUCE	2012	10	4693.18	1211	1245
13685	NUTS Pinenuts Organic	3	BULK	2011	7	4693.03	373	365
451	Asparagus	2	PRODUCE	2011	3	4691.34	1292	1295
721	Squash Zucchini Green Organic	2	PRODUCE	2015	2	4690.97	1638	1662
81076600002	Eggs O.Larrys ExtraLarge Dozen	4	REF GROCERY	2012	5	4690.56	1089	1170
747	5#O.Carrot Driftlss/Featherst.	2	PRODUCE	2014	1	4690.13	584	577
8058	BUS PASS SV Go-To Card	15	MISC P/I	2016	7	4690	187	191
2250600233	O.Mediterranean Olive Oil 1L S	1	PACKAGED GROCERY	2011	5	4688.12	363	388
395	Kale Dinosaur Organic	2	PRODUCE	2015	5	4683.33	1797	1903
14	Carrots Orange/Purple Bulk O.	2	PRODUCE	2013	10	4682.86	2169	2186
20639500000	Whole Turkey	13	MEAT	2011	11	4682.75	152	159
595	POTATOES Yellow/Yukon/White O.	2	PRODUCE	2014	11	4680.97	1334	1339
20162100000	Turkey Focaccia w/Pesto Mayo	8	DELI	2013	5	4679.88	1106	1241
740	Beets Loose Organic	2	PRODUCE	2013	4	4679.87	1238	1264
12	CELERY Organic	2	PRODUCE	2012	8	4678.47	1901	2019
89954100210	O.Raspberries pkg Hoch	2	PRODUCE	2013	7	4677.57	881	1019
197	ORANGES Mandarin Kishu O.	2	PRODUCE	2016	2	4676.78	665	651
71375731861	Large Eggs 12ct LoLa	4	REF GROCERY	2016	12	4675.77	1092	1210
20639500000	Whole Turkey	13	MEAT	2012	11	4675.67	131	135
533	Mushroom Crimini Organic	2	PRODUCE	2014	12	4675.25	1764	1769
314	Nectarine Yellow Organic	2	PRODUCE	2010	7	4674.93	1719	1659
17503	COFFEE French Roast/EE	3	BULK	2013	5	4674.65	543	563
13595	NUTS Walnuts Halves&Pieces Org	3	BULK	2011	3	4673.75	855	856
2250600233	O.Mediterranean Olive Oil 1L S	1	PACKAGED GROCERY	2015	4	4673.51	328	349
15605	NUT BUTTER Almond	3	BULK	2016	7	4673.3	567	576
20620200000	Bacon Thick-Sliced	13	MEAT	2013	12	4673.17	718	736
513	Cilantro Bunch Organic	2	PRODUCE	2015	2	4672.06	2117	2144
20639500000	Whole Turkey	13	MEAT	2010	11	4670.87	162	164
383	Garlic Organic	2	PRODUCE	2012	1	4668.83	4501	4544
13595	NUTS Walnuts Halves&Pieces Org	3	BULK	2015	8	4666.67	592	589
7835555000	Plain Greek Yogurt 24oz Gods	4	REF GROCERY	2011	8	4665.01	1058	1216
39	Wedge Scone	8	DELI	2016	2	4663.77	1492	1534
20680400000	Nerka Coho Salmon Fillet	16	FISH&SEAFOOD	2011	10	4662.32	390	441
179	CITRUS Lemon Organic	2	PRODUCE	2011	11	4662.15	2435	2477
129	APPLES Pink Lady Organic	2	PRODUCE	2010	7	4661.1	1592	1611
81076600003	Eggs O.Larrys Jumbo Dozen	4	REF GROCERY	2012	7	4660.32	978	1149
253	Grapes Red	2	PRODUCE	2010	2	4659.45	885	876
3338390203	5# Bag O.Carrots	2	PRODUCE	2013	3	4659.14	638	664
39	Wedge Scone	8	DELI	2016	3	4658.79	1519	1582
189	ORANGES Tangelo Minneola Org.	2	PRODUCE	2010	1	4656.01	1718	1720
7835557000	Honey Greek Yogurt 24oz Gods	4	REF GROCERY	2011	2	4654.19	1166	1405
20620700000	Lorentz Boneless Ham	13	MEAT	2012	4	4654.01	309	322
319	Peach Yellow Organic	2	PRODUCE	2016	7	4653.82	1315	1300
20600300000	Grass-Fed Ground Beef	13	MEAT	2011	2	4652.61	675	873
443	Strawberries Silkey Local 16oz	2	PRODUCE	2011	6	4652.46	1002	1035
81076600003	Eggs O.Larrys Jumbo Dozen	4	REF GROCERY	2012	6	4652.34	979	1142
79985765530	O.Sugarplum Grape Tomatoes pk	2	PRODUCE	2012	4	4652.17	1286	1332
20672700000	Alaskan Cod	16	FISH&SEAFOOD	2016	1	4651.63	471	506
39	Wedge Scone	8	DELI	2012	3	4650.99	1671	1796
20653000000	Chuck Roast	13	MEAT	2014	1	4650.86	268	295
119	APPLES Diva Organic	2	PRODUCE	2014	6	4650.76	925	938
101	APPLES Braeburn Organic	2	PRODUCE	2012	1	4649.75	1755	1804
392	Kale Green Organic	2	PRODUCE	2015	4	4648.81	1852	1983
503	Salad Mix Organic	2	PRODUCE	2013	12	4648.36	2434	2438
81076600003	Eggs O.Larrys Jumbo Dozen	4	REF GROCERY	2012	10	4648.35	1006	1137
17564	COFFEE Mind Body Soul/EE	3	BULK	2010	6	4648.16	637	656
179	CITRUS Lemon Organic	2	PRODUCE	2012	4	4645.64	3106	3159
20639400000	Whole Kadejan Turkey	13	MEAT	2014	11	4642.92	173	178
20680400000	Coho Salmon Fillet/Nerka	16	FISH&SEAFOOD	2011	2	4642.86	419	441
3338390203	5# Bag O.Carrots	2	PRODUCE	2013	4	4642.84	572	592
81076600003	O.Jumbo Eggs 12ct Larry	4	REF GROCERY	2016	1	4641.78	899	1035
368	Cauliflower White/Gold Organic	2	PRODUCE	2010	6	4641.37	911	932
395	Kale Dinosaur Organic	2	PRODUCE	2010	4	4640.36	1411	1515
702	Squash Winter/PiePump.Local O.	2	PRODUCE	2015	12	4639.31	1133	1234
72243020016	O.Gingerade Kombucha 16oz GTs	4	REF GROCERY	2012	6	4639.11	1245	1635
181	ORANGES Blood Organic	2	PRODUCE	2015	3	4639.1	1274	1294
311	Cherry Bing/Red Organic	2	PRODUCE	2012	8	4638.81	434	401
395	Kale Dinosaur Organic	2	PRODUCE	2015	12	4636.27	1713	1821
727	TOMATOES Slicer Red/Yellow O.	2	PRODUCE	2015	10	4635.99	1355	1362
721	Squash Zucchini Green Organic	2	PRODUCE	2015	5	4635.76	2381	2430
79985765530	O.Sugarplum Cherry Tomatoes pk	2	PRODUCE	2010	12	4632.39	1099	1161
533	Mushroom Crimini Organic	2	PRODUCE	2013	12	4631.87	1747	1748
189	ORANGES Tangelo Minneola Org.	2	PRODUCE	2014	1	4631.8	1180	1192
108	APPLES Gala Organic	2	PRODUCE	2016	7	4631.52	784	791
81076600004	Eggs O.Larrys Medium Dozen	4	REF GROCERY	2011	5	4631.51	1378	1525
152	Grapes Green Organic	2	PRODUCE	2016	5	4631.08	608	585
8026	Gift Card Sold	15	MISC P/I	2012	8	4630.62	63	76
15605	NUT BUTTER Almond	3	BULK	2016	8	4627.96	527	556
20653000000	Chuck Roast	13	MEAT	2010	10	4627.69	440	503
111	APPLES Honeycrisp WA O.	2	PRODUCE	2016	1	4627.33	551	563
122	APPLES Breezy Hill O.	2	PRODUCE	2010	10	4625.25	1307	1340
111	APPLES Honeycrisp CA Organic	2	PRODUCE	2010	11	4624.83	943	956
20099000000	Fresh Flower Bouquet	18	FLOWERS	2011	5	4624.81	400	415
80245800077	O.Mini Heirloom Tomatoes pkg.	2	PRODUCE	2011	2	4624.41	1124	1156
317	Nectarine White Organic	2	PRODUCE	2012	7	4624.39	1496	1421
85501700215	O.Blueberries 6oz pkg.	2	PRODUCE	2015	5	4624.28	644	743
39	Wedge Scone	8	DELI	2014	5	4622.26	1550	1642
130	AVOCADO Hass Big Organic	2	PRODUCE	2013	10	4622.19	1013	1132
15627	SWEETENER Honey Raw/Ames Farm	3	BULK	2015	1	4621.48	495	522
557	SCALLIONS/Green Onions Org.	2	PRODUCE	2010	3	4621.05	2137	2222
69685903149	Extra Large Eggs 12ct LoLa	4	REF GROCERY	2015	3	4620.42	1041	1148
101	APPLES Braeburn Organic	2	PRODUCE	2011	7	4619.11	1401	1418
3338300998	3# Bag O.Honeycrisp Apples	2	PRODUCE	2010	10	4618.22	560	577
81076600003	O.Jumbo Eggs 12ct Larry	4	REF GROCERY	2014	3	4616.43	987	1107
15660	NUT BUTTER Peanut Organic	3	BULK	2013	6	4616.32	873	895
72243020016	O.Gingerade Kombucha 16oz GTs	4	REF GROCERY	2015	6	4615.98	1129	1413
352	Beans Green Organic	2	PRODUCE	2012	6	4614.84	1644	1634
20162100000	Turkey Focaccia w/Pesto Mayo	8	DELI	2012	6	4614.8	1028	1158
129	APPLES Pink Lady Organic	2	PRODUCE	2016	7	4613.58	969	988
533	Mushroom Crimini Organic	2	PRODUCE	2011	12	4612.82	1812	1814
674	Pepper Bell Red GoE	2	PRODUCE	2013	10	4612.33	1579	1586
39	Wedge Scone	8	DELI	2014	9	4610.31	1575	1649
398	Spinach Bulk Organic	2	PRODUCE	2010	7	4609.97	2134	2127
179	CITRUS Lemon Organic	2	PRODUCE	2011	12	4609.63	2368	2394
129	APPLES Pink Lady Organic	2	PRODUCE	2014	12	4606.63	1231	1236
179	CITRUS Lemon Organic	2	PRODUCE	2015	2	4606.47	2414	2434
750	Carrots Bulk Organic	2	PRODUCE	2014	11	4605.95	2070	2083
101	APPLES Braeburn Organic	2	PRODUCE	2014	7	4604.64	907	927
7835557000	Honey Greek Yogurt 24oz Gods	4	REF GROCERY	2012	8	4604.04	1177	1309
727	TOMATOES Slicer Organic	2	PRODUCE	2016	7	4603.22	956	938
39	Wedge Scone	8	DELI	2016	1	4601.52	1436	1481
733	TOMATOES Slicer Local O.	2	PRODUCE	2013	10	4599.72	1211	1207
36	CUCUMBER Organic	2	PRODUCE	2011	8	4598.91	3049	3081
9396613000	O.Unsalted Butter 16oz OV 	4	REF GROCERY	2013	11	4597.23	682	859
395	Kale Dinosaur Organic	2	PRODUCE	2012	10	4595.65	1679	1742
20603500000	Grass-Fed NY Strip Steak 	13	MEAT	2012	4	4594.39	367	455
503	Salad Mix Organic	2	PRODUCE	2016	1	4593.55	2098	2100
513	Cilantro Bunch Organic	2	PRODUCE	2015	8	4592.92	2079	2119
69685903149	Extra Large Eggs 12ct LoLa	4	REF GROCERY	2015	4	4592.49	1007	1136
8026	Gift Card Sold	15	MISC P/I	2013	11	4591.23	77	109
20681400000	Sockeye Salmon	16	FISH&SEAFOOD	2016	10	4589.95	324	339
101	APPLES Braeburn Organic	2	PRODUCE	2011	5	4589.68	1911	1950
81076600002	Eggs O.ExtraLarge Dozen Larrys	4	REF GROCERY	2010	1	4589.55	1257	1373
161	Cantaloupe/Muskmelon Organic	2	PRODUCE	2014	7	4589.21	1521	1545
314	Nectarine Yellow Organic	2	PRODUCE	2010	6	4587.16	1652	1622
71575610004	O.Raspberries 6oz pkg	2	PRODUCE	2013	5	4585.44	583	642
17503	COFFEE French Roast/EE	3	BULK	2010	11	4584.64	676	711
71575610004	O.Raspberries 6oz Driscoll	2	PRODUCE	2016	6	4584.32	1080	1436
2250600233	O.Mediterranean Olive Oil 1L S	1	PACKAGED GROCERY	2014	7	4581.51	312	333
324	Peach White Organic	2	PRODUCE	2011	7	4581.45	1405	1372
571	Pepper Bell Green Organic	2	PRODUCE	2011	5	4580.13	2112	2103
9492251241	Eggs O.Dozen Harmony	4	REF GROCERY	2011	8	4579.29	1122	1208
571	Pepper Bell Green Organic	2	PRODUCE	2011	12	4578.78	2147	2163
108	APPLES Gala Organic	2	PRODUCE	2014	3	4577.29	1258	1279
129	APPLES Pink Lady Organic	2	PRODUCE	2011	3	4577.07	2057	2093
727	TOMATOES RedSlicer/Saladette O	2	PRODUCE	2010	9	4576.79	1334	1349
533	Mushroom Crimini Organic	2	PRODUCE	2013	2	4576.7	1864	1862
152	Grapes Green Organic	2	PRODUCE	2015	7	4576.6	748	722
20073100000	Cut Watermelon Organic	2	PRODUCE	2010	8	4576.06	1250	1274
301	PEARS Bartlett/Packham Organic	2	PRODUCE	2012	9	4575.89	1608	1623
557	SCALLIONS Green/Purple Org.	2	PRODUCE	2014	3	4574.83	2398	2485
39	Wedge Scone	8	DELI	2015	1	4574.13	1430	1517
828	TOMATOES Heirloom TomatoKing	2	PRODUCE	2013	9	4572.45	1026	1016
533	Mushroom Crimini Organic	2	PRODUCE	2012	10	4569.53	1951	1946
81076600004	Eggs O.Larrys Medium Dozen	4	REF GROCERY	2012	12	4568.22	1137	1220
129	APPLES Pink Lady Organic	2	PRODUCE	2011	8	4567.72	1278	1307
81076600004	Eggs O.Larrys Medium Dozen	4	REF GROCERY	2012	4	4566.33	1224	1320
740	Beets Loose Organic	2	PRODUCE	2011	12	4565.31	1199	1212
983	O.Seedling 2.5 pot -- GoE	18	FLOWERS	2015	5	4564.89	825	877
13595	NUTS Walnuts Halves&Pieces Org	3	BULK	2010	3	4564.61	833	827
101	APPLES Braeburn Organic	2	PRODUCE	2011	3	4563.04	1889	1937
363	Cucumbers Organic	2	PRODUCE	2016	9	4559.51	1902	1919
924	O.Compost/Pot.Soil 1.6 cu.ft.	18	FLOWERS	2014	5	4558.85	167	177
179	CITRUS Lemon Organic	2	PRODUCE	2012	1	4558.63	2631	2662
13595	NUTS Walnuts Halves&Pieces Org	3	BULK	2011	8	4557.59	832	829
20680400000	Nerka Coho Salmon Fillet	16	FISH&SEAFOOD	2012	1	4557.26	417	482
7835557000	Honey Greek Yogurt 24oz Gods	4	REF GROCERY	2013	5	4556.44	1219	1433
731	TOMATOES PerfectCircleLocal O.	2	PRODUCE	2012	3	4554.12	1295	1305
735	Yams Organic	2	PRODUCE	2011	2	4553.64	1797	1846
721	Squash Zucchini Green Organic	2	PRODUCE	2015	4	4552.72	2087	2108
374	Sweet Corn Organic	2	PRODUCE	2012	8	4551.03	1384	1487
81076600001	Eggs O.Larrys Large Dozen	4	REF GROCERY	2011	6	4550.07	1236	1347
20681000000	Sockeye Salmon	16	FISH&SEAFOOD	2011	9	4548.43	399	426
39	Wedge Scone	8	DELI	2014	8	4545.78	1520	1610
81076600001	Eggs O.Larrys Large Dozen	4	REF GROCERY	2011	10	4544.29	1286	1280
17	Lettuce Romaine Organic	2	PRODUCE	2010	4	4544.17	1668	1782
111	APPLES Honeycrisp O.	2	PRODUCE	2017	1	4543.26	932	957
81076600003	Eggs O.Jumbo Dozen Larrys	4	REF GROCERY	2010	12	4542.6	1114	1290
735	Yams Organic	2	PRODUCE	2010	2	4542.07	2048	2109
20680400000	Coho Salmon Fillet/Nerka	16	FISH&SEAFOOD	2010	9	4541.27	415	441
557	SCALLIONS Green Onions Org	2	PRODUCE	2013	2	4541.18	2007	2076
549	ONIONS Red Organic	2	PRODUCE	2010	6	4540.87	1740	1751
122	APPLES StateFair BreezyHill O.	2	PRODUCE	2012	8	4540.72	1610	1619
