s	Product	Department	Dept_Name	Year	Month	Sales	Transactions	Items
51	BANANA Organic	2	PRODUCE	2014	6	23733.34	11041	11363
151	Banana Organic	2	PRODUCE	2015	4	23687.68	11207	11514
55215900076	 * Manufacturers Coupon	4	REF GROCERY	2011	10	23670	1	-1
311	Cherry Bing/Red Organic	2	PRODUCE	2010	7	23550.61	2941	2962
51	BANANA Organic	2	PRODUCE	2013	6	23332.56	10492	10745
51	BANANA Organic	2	PRODUCE	2012	5	23163.48	10783	11066
51	BANANA Organic	2	PRODUCE	2014	1	23120.65	9644	9907
8026	Gift Card Sold	15	MISC P/I	2011	12	23117.38	379	459
51	BANANA Organic	2	PRODUCE	2011	12	23050.29	10092	10432
8027	Member Class-C Share Purchase	15	MISC P/I	2014	4	23000	6	6
51	BANANA Organic	2	PRODUCE	2011	5	22930.24	13078	13437
351	Asparagus Organic	2	PRODUCE	2012	5	22825.24	3225	3222
51	BANANA Organic	2	PRODUCE	2014	4	22755.86	9983	10257
51	BANANA Organic	2	PRODUCE	2013	10	22702.2	10527	10794
151	Banana Organic	2	PRODUCE	2015	6	22695.47	11163	11412
11	BROCCOLI Organic	2	PRODUCE	2013	1	22534.45	4268	4286
51	BANANA Organic	2	PRODUCE	2012	11	22326.92	10447	10735
151	Banana Organic	2	PRODUCE	2014	10	22326.08	10633	10945
51	BANANA Organic	2	PRODUCE	2012	2	22280.03	9758	10034
51	BANANA Organic	2	PRODUCE	2011	3	22257.22	11685	11996
51	BANANA Organic	2	PRODUCE	2013	7	21939.6	10586	10800
51	BANANA Organic	2	PRODUCE	2013	4	21767	9577	9837
51	BANANA Organic	2	PRODUCE	2011	11	21707.78	10411	10690
311	Cherry Bing/Red Organic	2	PRODUCE	2012	7	21551.21	2826	2858
151	Banana Organic	2	PRODUCE	2015	1	21509.56	10063	10388
8026	Gift Card Sold	15	MISC P/I	2012	12	21476.2	337	443
51	BANANA Organic	2	PRODUCE	2014	7	21417.9	10310	10630
